mjd,r,i,g,z,V,u
55680.2007007007,17.779491539836535,17.89005226501795,17.79039199357504,18.05361283539871,17.656133365145863,18.293347127692698
55680.32882882883,17.7793080664921,17.88980572930246,17.79059760687774,18.053149065769574,17.656173551909042,18.293882759517473
55680.45695695696,17.779165187578815,17.889598224782496,17.790850152521898,18.052720532747735,17.656257611971895,18.294470304687685
55680.585085085084,17.77906273344347,17.88942958367216,17.79114949398688,18.052327062091077,17.656385396233677,18.29510967107464
55680.71321321321,17.77900053580677,17.889299639394267,17.79149549671166,18.051968480533592,17.656556757201358,18.295800769145348
55680.841341341344,17.7789784277292,17.889208226548856,17.7918880280566,18.05164461575958,17.656771548953248,18.296543511928206
55680.96946946947,17.77899624357754,17.88915518088237,17.79232695726587,18.051355296378656,17.657029627103284,18.297337814979496
55681.097597597596,17.77905381899195,17.88914033925713,17.792812155431047,18.051100351900676,17.657330848765977,18.29818359635118
55681.22572572572,17.77915099085353,17.889163539621435,17.793343495454508,18.05087961271174,17.657675072521734,18.299080776558565
55681.353853853856,17.779287597252488,17.8892246209802,17.793920852014104,18.050692910050206,17.658062158382805,18.30002927854943
55681.48198198198,17.77946347745675,17.889323423365866,17.794544101528054,18.050540075983278,17.658491967759687,18.301029027673458
55681.61011011011,17.779678471881127,17.889459787809972,17.795213122120515,18.050420943384097,17.658964363428066,18.302079951652505
55681.738238238235,17.779932422057033,17.889633556315044,17.795927793587843,18.050335345909044,17.65947920949632,18.3031819805517
55681.86636636637,17.780225170602574,17.889844571827027,17.796687997365154,18.05028311797575,17.66003637137338,18.304335046750843
55681.994494494495,17.78055656119304,17.890092678208006,17.79749361649345,18.050264094741262,17.66063571573693,18.30553908491662
55682.12262262262,17.780926438532198,17.890377720209475,17.798344535587443,18.050278112080683,17.66127711050245,18.30679403197562
55682.250750750754,17.78133464832368,17.890699543446043,17.79924064080378,18.050325006566414,17.661960424792394,18.308099827087865
55682.37887887888,17.781781037242926,17.89105799436934,17.800181819809502,18.05040461544728,17.662685528905676,18.30945641162057
55682.50700700701,17.782265452909602,17.891452920242543,17.801167961751414,18.05051677662866,17.66345229428798,18.310863729123113
55682.63513513513,17.782787743860503,17.891884169115173,17.802198957225585,18.05066132865249,17.664260593502114,18.312321725302343
55682.76326326327,17.783347759522606,17.892351589798327,17.803274698247343,18.050838110677986,17.665110300198876,18.31383034799805
55682.89139139139,17.78394535018679,17.89285503184016,17.8043950782217,18.05104696246238,17.666001289088264,18.315389547159516
55683.01951951952,17.784580366981928,17.8933943455019,17.80555999191432,18.051287724342465,17.666933435911137,18.316999274822418
55683.147647647645,17.785252661849107,17.893969381734117,17.806769335422732,18.051560237215977,17.667906617411163,18.318659485086133
55683.27577577578,17.785962087516772,17.894579992153446,17.80802300614818,18.05186434252391,17.66892071130725,18.320370134092002
55683.403903903905,17.786708497475335,17.89522602901933,17.809320902767077,18.052199882232532,17.6699755962658,18.322131180000913
55683.53203203203,17.787491745953186,17.89590734521159,17.810662925204163,18.052566698816268,17.671071151874138,18.323942582973228
55683.66016016016,17.788311687892406,17.896623794207976,17.812048974604767,18.052964635240713,17.67220725861358,18.32580430514746
55683.78828828829,17.78916817892496,17.89737523006217,17.81347895330811,18.053393534945933,17.67338379783308,18.32771631062043
55683.91641641642,17.79006107534915,17.89816150738192,17.814952764820536,18.053853241830076,17.67460065172297,18.329678565427216
55684.044544544544,17.790990234106797,17.898982481307925,17.816470313789516,18.054343600233558,17.67585770328943,18.331691037522354
55684.17267267267,17.791955512760225,17.899838007492498,17.81803150597766,18.054864454923198,17.677154836328782,18.33375369676081
55684.300800800804,17.792956769470127,17.900727942079065,17.819636248237163,18.055415651077137,17.678491935402473,18.335866514879665
55684.42892892893,17.793993862972897,17.90165214168125,17.821284448484068,18.055997034269346,17.67986888581154,18.338029465479643
55684.557057057056,17.79506665255933,17.90261046336305,17.82297601567372,18.056608450455297,17.68128557357249,18.340242524008236
55684.68518518518,17.796174998052887,17.90360276461883,17.824710859775795,18.05724974595742,17.682741885392637,18.342505667742106
55684.813313313316,17.797318759788563,17.904628903353682,17.82648889175,18.057920767450877,17.684237708645803,18.344818875770667
55684.94144144144,17.79849779859168,17.9056887378639,17.82831002352114,18.05862136194977,17.685772931348183,18.34718212897878
55685.06956956957,17.799711975757734,17.906782126818282,17.830174167956137,18.05935137679375,17.687347442135035,18.349595410031935
55685.197697697695,17.800961153031672,17.90790892923901,17.832081238839525,18.06011065963457,17.68896113023669,18.352058703359653
55685.32582582583,17.802245192588202,17.90906900448348,17.834031150850397,18.060899058423566,17.690613885455786,18.35457199514083
55685.453953953955,17.80356395701138,17.910262212225422,17.836023819538575,18.06171642139835,17.692305598143328,18.357135273287895
55685.58208208208,17.80491730927577,17.911488412437564,17.838059161302077,18.06256259707108,17.694036159176637,18.359748527433013
55685.71021021021,17.806305112726854,17.912747465373496,17.84013709336402,18.063437434216066,17.695805459936253,18.362411748913562
55685.83833833834,17.807727231062145,17.914039231550362,17.842257533750065,18.064340781858125,17.69761339228353,18.36512493075797
55685.96646646647,17.80918352831225,17.91536357173133,17.84442040126538,18.06527248926093,17.699459848537977,18.36788806767175
55686.09459459459,17.81067386882274,17.916720346908917,17.846625615473236,18.066232405915905,17.70134472145576,18.370701156025053
55686.22272272272,17.812198117235926,17.918109418288314,17.848873096672563,18.067220381531484,17.703267904207422,18.373564193839027
55686.35085085085,17.813756138472648,17.919530647270527,17.851162765875866,18.06823626602209,17.705229290356115,18.376477180773275
55686.47897897898,17.815347797714495,17.92098389543615,17.853494544787136,18.069279909497855,17.707228773835592,18.37944011811266
55686.607107107106,17.816972960386753,17.92246902452969,17.855868355781077,18.070351162254713,17.709266248929506,18.38245300875628
55686.73523523523,17.818631492140934,17.92398589644353,17.85828412188113,18.07144987476439,17.711341610249697,18.38551585720506
55686.863363363365,17.82032325883785,17.925534373202446,17.860741766738343,18.07257589766498,17.713454752715073,18.388628669549988
55686.99149149149,17.822048126530618,17.927114316948092,17.8632412146098,18.073729081751434,17.715605571530443,18.39179145346073
55687.11961961962,17.823805961448468,17.928725589924174,17.86578239033805,18.074909277966732,17.717793962165963,18.395004218174712
55687.247747747744,17.82559662998063,17.93036805446173,17.868365219330354,18.076116337393383,17.720019820336564,18.398266974486564
55687.37587587588,17.82741999865974,17.932041572964103,17.870989627537426,18.07735011124444,17.72228304198095,18.401579734737176
55687.504004004004,17.82927593414619,17.93374600789251,17.873655541432587,18.078610450855507,17.724583523241034,18.404942512802634
55687.63213213213,17.83116430321286,17.935481221752386,17.87636288799208,18.079897207677043,17.72692116044231,18.408355324085704
55687.760260260264,17.833084972729583,17.9372470770791,17.879111594673983,18.081210233266464,17.729295850073225,18.411818185504753
55687.88838838839,17.835037809647627,17.93904343642401,17.881901589397636,18.082549379280668,17.731707488764787,18.415331115484108
55688.016516516516,17.837022680985378,17.94087016234144,17.884732800524134,18.08391449746919,17.734155973271303,18.418894133945265
55688.14464464464,17.839039453813225,17.942727117375007,17.8876051568354,18.085305439667096,17.736641200449945,18.422507262296975
55688.272772772776,17.841087995239594,17.944614164045184,17.890518587515206,18.086722057788794,17.7391630672418,18.426170523427395
55688.4009009009,17.84316817239569,17.946531164835314,17.893473022127257,18.088164203820934,17.74172147065084,18.42988394169296
55688.52902902903,17.845279852422504,17.948477982180147,17.896468390597246,18.08963172981714,17.744316307725892,18.433647542912436
55688.657157157155,17.8474229024565,17.95045447845291,17.899504623191852,18.091124487891822,17.746947475540345,18.437461354356785
55688.78528528529,17.849597189616173,17.952460515953277,17.902581650499375,18.092642330214822,17.749614871173222,18.441325404741544
55688.913413413415,17.851802580988256,17.9544959568951,17.905699403409447,18.094185109005853,17.752318391689432,18.445239724218336
55689.04154154154,17.85403894361518,17.956560663395248,17.908857813094063,18.095752676529948,17.7550579341213,18.449204344367548
55689.16966966967,17.856306144481582,17.95865449746152,17.912056810987483,18.09734488509225,17.75783339544902,18.45321929819041
55689.2977977978,17.85860405050234,17.960777320982203,17.91529632876722,18.098961587034374,17.760644672582437,18.45728462010178
55689.42592592593,17.860932528508688,17.96292899571361,17.918576298333043,18.100602634728943,17.763491662340705,18.4614003459215
55689.55405405405,17.86329144523731,17.965109383270633,17.921896651789176,18.102267880576836,17.766374261435097,18.465566512868868
55689.68218218218,17.8656806673175,17.96731834511538,17.92525732142378,18.10395717700299,17.769292366449427,18.469783159554424
55689.81031031031,17.868100061259625,17.969555742547087,17.928658239690044,18.10567037645313,17.772245873821827,18.474050325974083
55689.93843843844,17.87054949344291,17.97182143669145,17.932099339185765,18.10740733139045,17.7752346798255,18.47836805350058
55690.066566566566,17.87302883010479,17.974115288491376,17.935580552635276,18.10916789429316,17.778258680551254,18.482736384879047
55690.19469469469,17.87553793732911,17.97643715869671,17.939101812869005,18.110951917651466,17.781317771888336,18.48715536421888
55690.322822822825,17.87807668103579,17.978786907855415,17.94266305280502,18.112759253966004,17.784411849506945,18.49162503698865
55690.45095095095,17.880644926968824,17.98116439630312,17.946264205428154,18.114589755744575,17.787540808838585,18.496145450008232
55690.57907907908,17.883242540687046,17.983569484155282,17.949905203772115,18.116443275501567,17.790704545059334,18.500716651444197
55690.707207207204,17.88586938755305,17.98600203129776,17.953585980899415,18.118319665755827,17.79390295307104,18.505338690803377
55690.83533533534,17.888525332723503,17.988461897378567,17.957306469882287,18.12021877902975,17.797135927483623,18.51001161892696
55690.963463463464,17.891210241138495,17.990948941798898,17.961066603782317,18.122140467847867,17.800403362596263,18.51473548798362
55691.09159159159,17.893923977512753,17.9934630237057,17.964866315632392,18.124084584736597,17.803705152380655,18.519510351465865
55691.21971971972,17.89666640632617,17.996004001983927,17.968705538416863,18.126050982224076,17.80704119046289,18.524336264183333
55691.34784784785,17.899437391814004,17.998571735248227,17.97258420505172,18.128039512839386,17.810411370105335,18.529213282257455
55691.475975975976,17.902236797957883,18.001166081835542,17.976502248364724,18.13005002911278,17.813815584188518,18.534141463115038
55691.6041041041,17.905064488477837,18.003786899798758,17.980459601077193,18.13208238357675,17.81725372519481,18.539120865484765
55691.73223223223,17.90792032682319,18.00643404689922,17.984456195783647,18.134136428766073,17.82072568518991,18.54415154939102
55691.86036036036,17.910804176164604,18.00910738060024,17.988491964932603,18.13621201721924,17.824231355805782,18.549233576148737
55691.98848848849,17.913715899385373,18.0118067580602,17.99256684080615,18.138309001479072,17.82777062822249,18.55436700835768
55692.116616616615,17.91665535907449,18.014532036127125,17.996680755501487,18.140427234095004,17.831343393151826,18.559551909898566
55692.24474474474,17.919622417519022,18.017283071332734,18.000833640911043,18.14256656762477,17.834949540819885,18.56478834592775
55692.372872872875,17.9226169366962,18.020059719886174,18.005025428702368,18.144726854636026,17.838588960949327,18.570076382872042
55692.501001001,17.925638778266407,18.02286183766871,18.00925605029782,18.146907947708918,17.84226154274198,18.57541608842275
55692.62912912913,17.92868780356705,18.02568928022917,18.013525436856387,18.14910969943904,17.845967174862885,18.580807531533175
55692.75725725726,17.931763873605647,18.02854190277881,18.017833519252825,18.151331962440285,17.849705745422632,18.586250782412083
55692.88538538539,17.93486684905291,18.03141956018606,18.022180228057252,18.15357458934749,17.85347714195987,18.591745912518746
55693.01351351351,17.93799659023779,18.034322106973196,18.026565493516568,18.155837432820867,17.85728125142557,18.597292994559478
55693.14164164164,17.941152957140766,18.037249397311463,18.030989245533277,18.15812034554899,17.861117960165306,18.602892102481484
55693.26976976977,17.94433580938936,18.040201285018167,18.035451413646793,18.16042318025378,17.864987153903705,18.608543311470097
55693.3978978979,17.94754500625125,18.043177623551628,18.039951927010954,18.162745789693503,17.868888717725792,18.614246697940633
55693.526026026026,17.950780406630788,18.046178266009452,18.044490714376387,18.16508802666873,17.87282253606248,18.62000233953722
55693.65415415415,17.95404186906362,18.049203065124786,18.04906770406879,18.167449744026566,17.87678849267303,18.625810315125964
55693.782282282285,17.957329251712444,18.05225187326386,18.05368282396928,18.169830794666208,17.880786470629097,18.631670704791002
55693.91041041041,17.96064241236221,18.0553245424231,18.058336001493004,18.172231031543866,17.884816352297513,18.637583589828772
55694.03853853854,17.963981208417238,18.058420924227768,18.063027163570005,18.17465030767934,17.888878019325343,18.643549052744355
55694.166666666664,17.967345496896694,18.061540869929452,18.067756236623765,18.17708847616139,17.892971352622865,18.64956717724594
55694.2947947948,17.970735134432346,18.064684230405465,18.072523146551678,18.179545390155056,17.89709623234837,18.655638048240828
55694.422922922924,17.974149977263846,18.067850856156017,18.077327818702276,18.18202090290678,17.90125253789055,18.66176175182828
55694.55105105105,17.977589881237567,18.071040597304815,18.082170177856703,18.184514867752803,17.905440147854396,18.66793837529699
55694.67917917918,17.981054701803373,18.074253303597615,18.087050148206636,18.187027138125632,17.909658940044572,18.674168007118478
55694.80730730731,17.984544294012917,18.077488824402376,18.091967653334105,18.189557567561835,17.913908791450165,18.68045073694333
55694.93543543544,17.98805851251685,18.080747008708325,18.096922616189172,18.192106009709377,17.918189578228073,18.686786655593405
55695.06356356356,17.991597211564503,18.08402770512747,18.101914959070612,18.194672318336384,17.92250117568916,18.693175855059792
55695.19169169169,17.995160245001756,18.087330761894197,18.106944603603367,18.197256347338907,17.926843458281514,18.699618428494745
55695.31981981982,17.998747466271144,18.090656026867336,18.112011470718684,18.199857950750445,17.931216299576715,18.706114470208483
55695.44794794795,18.00235872840946,18.094003347529604,18.117115480630698,18.20247698274935,17.9356195722525,18.712664075660626
55695.576076076075,18.005993884049317,18.09737257099099,18.12225655281697,18.205113297669627,17.94005314808002,18.719267341457
55695.7042042042,18.009652785418226,18.100763543989604,18.12743460599622,18.20776675000953,17.94451689790771,18.725924365342994
55695.832332332335,18.013335284339394,18.104176112894553,18.132649558107005,18.210437194441866,17.94901069164724,18.73263524619738
55695.96046046046,18.01704123223162,18.10761012370747,18.137901326284847,18.21312448582335,17.953534398257723,18.739400084024883
55696.08858858859,18.020770480111267,18.111065422066513,18.14318982684226,18.215828479205687,17.95808788573279,18.746218979952324
55696.21671671671,18.024522878593753,18.114541853249566,18.148514975246396,18.218549029846358,17.962671021085843,18.753092036220757
55696.34484484485,18.028298277894354,18.11803926217704,18.153876686096552,18.221285993218693,17.967283670335323,18.760019356178933
